Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
2554 Forestgate Esso Express,Convenience London,GREATER LONDON,"£1,949",70,£24.75,£2.70,9.2,46,1.5,22.4,97.10%,99.20%,4,13,3,1,1
2556 Forest Hill Esso Express,Convenience London,GREATER LONDON,"£4,202",130,£29.34,£3.06,9.6,87,1.5,27,96.20%,98.50%,6,13,3,1,3
2563 Grove Hill Express,Convenience Central,SOUTH EAST,"£2,595",95,£24.17,£2.75,8.8,65,1.5,20.7,100.00%,97.70%,4,6,5,2,3
2579 Greenford Express,Convenience London,SOUTH EAST,"£7,404",218,£30.95,£2.54,12.2,169,1.3,32.1,93.60%,98.70%,7,12,5,1,7
2594 Great Wyrley Esso Express,Convenience Central,MIDLANDS,"£1,584",49,£29.30,£2.51,11.7,40,1.2,31.5,89.80%,98.40%,6,18,4,1,2
2596 Grove Park Esso Express,Convenience London,GREATER LONDON,"£5,893",204,£25.82,£2.56,10.1,151,1.4,23.7,97.50%,99.00%,6,12,3,1,1
2597 Gowerton Esso Express,Convenience South,WALES,"£3,681",116,£28.64,£2.57,11.1,93,1.2,44.1,86.20%,99.10%,8,27,3,2,4
2600 Grays Express,Convenience Central,SOUTH EAST,"£5,043",167,£27.13,£2.82,9.6,120,1.4,25.8,97.60%,98.90%,4,13,4,1,3
2602 Taunton Galmington Express,Convenience South,SOUTH CENTRAL,"£2,354",77,£27.43,£2.80,9.8,57,1.4,40.6,86.80%,99.40%,6,28,3,2,1
2603 Gants Hill Express,Convenience London,SOUTH EAST,"£6,411",213,£26.89,£2.61,10.3,157,1.4,24.3,97.70%,99.00%,7,10,3,1,3
2604 Bridgend Gentle Way Express,Convenience South,WALES,"£8,639",246,£32.00,£2.90,11,172,1.4,35.6,92.30%,98.90%,7,17,4,2,5
2605 Greenleys Express,Convenience Central,SOUTH EAST,"£4,761",159,£26.81,£2.07,12.9,130,1.2,23.7,100.00%,99.50%,6,9,4,1,3
2606 Claregate Express,Convenience Central,MIDLANDS,"£5,836",171,£31.02,£2.64,11.8,117,1.5,24.5,100.00%,97.30%,7,10,4,1,3
2608 Dudley Rd Express,Convenience Central,MIDLANDS,"£1,879",68,£24.49,£2.59,9.5,60,1.1,23.6,98.50%,98.80%,6,12,3,1,2
2611 Henwick Park Express,Convenience Central,MIDLANDS,"£3,819",107,£32.67,£2.83,11.6,87,1.2,32.5,95.30%,98.40%,7,16,4,3,2
2614 Horsforth Express,Convenience North,NORTH EAST,"£2,057",66,£28.28,£2.93,9.6,50,1.3,26.1,98.40%,99.80%,6,13,3,1,3
2615 Milton Keynes Heelands Express,Convenience Central,SOUTH EAST,"£4,024",135,£26.71,£2.34,11.4,103,1.3,25.6,97.80%,97.80%,7,11,4,1,3
2618 Harlow Express,Convenience Central,SOUTH EAST,"£15,613",410,£35.04,£2.56,13.7,320,1.3,35.9,91.50%,99.50%,9,13,5,2,5
2620 Heavitree Esso Express,Convenience South,SOUTH WEST,"£11,884",394,£27.06,£2.60,10.4,259,1.5,28.9,94.80%,99.50%,9,13,3,1,3
2625 Harrogate Esso Express,Convenience North,NORTH EAST,"£1,234",34,£33.20,£2.99,11.1,21,1.6,33.5,88.20%,98.90%,7,19,2,2,3
2626 Hartshill Esso Express,Convenience Central,MIDLANDS,"£8,767",260,£30.72,£2.64,11.6,189,1.4,29.1,98.10%,99.30%,8,14,4,1,3
2627 Harrow Esso Express,Convenience London,SOUTH EAST,"£2,118",59,£32.85,£3.20,10.3,32,1.8,21.3,100.00%,98.10%,4,9,4,1,3
2631 Harpenden Esso Express,Convenience Central,SOUTH EAST,"£4,076",111,£33.71,£2.96,11.4,88,1.3,35.7,91.90%,99.50%,8,18,4,2,3
2632 Greenford Oldfield Express,Convenience London,SOUTH EAST,"£5,136",165,£28.00,£2.68,10.5,116,1.4,25.1,96.40%,98.80%,7,12,2,1,2
2637 Harrow Kenton Ln Express,Convenience London,SOUTH EAST,"£4,109",145,£25.14,£2.80,9,95,1.5,21.8,98.60%,98.60%,6,10,3,1,2
2648 Henleaze Esso Express,Convenience South,SOUTH CENTRAL,"£1,502",51,£26.26,£2.55,10.3,35,1.5,26.1,98.00%,99.80%,5,16,3,1,1
2650 Swadlincote Hearthcote Rd Express,Convenience Central,MIDLANDS,"£2,665",87,£27.54,£2.86,9.6,64,1.4,24.1,97.70%,98.60%,5,13,2,2,2
2657 Bicester Hart Place Express,Convenience Central,SOUTH CENTRAL,£955,36,£23.16,£2.51,9.2,28,1.3,28.9,94.40%,99.60%,3,18,3,2,3
2661 Hertford Superstore,Large South,SOUTH EAST,"£18,942",471,£37.21,£2.39,15.6,353,1.3,35.5,91.90%,98.80%,9,12,7,3,4
2665 Norwich Grove Rd Express,Convenience Central,EAST ANGLIA,"£4,271",127,£30.54,£2.45,12.5,95,1.3,30.8,96.00%,98.60%,7,17,4,3,1
2673 Grantham Express,Convenience Central,MIDLANDS,"£2,287",62,£33.84,£2.74,12.4,49,1.3,38.3,85.70%,98.00%,7,23,3,2,3
2680 Hawkinge Express,Convenience South,SOUTH EAST,"£3,506",112,£28.17,£2.72,10.4,71,1.6,30.6,93.70%,99.70%,4,19,2,3,2
2683 Horley Express,Convenience South,SOUTH EAST,"£7,555",258,£26.13,£2.56,10.2,202,1.3,29.4,98.10%,98.60%,7,14,3,2,3
2684 Great Baddow Express,Convenience Central,SOUTH EAST,"£5,048",144,£32.05,£2.85,11.3,108,1.3,38.4,88.90%,99.10%,5,23,3,2,5
2688 Horsham Esso Express,Convenience South,SOUTH EAST,"£10,986",326,£30.65,£2.59,11.8,228,1.4,35.1,87.70%,99.60%,8,19,3,2,3
2696 Hove Dyke Rd Esso Express,Convenience South,SOUTH EAST,"£4,128",112,£33.93,£2.52,13.5,95,1.2,37.1,86.50%,99.10%,9,20,5,2,2
2704 Hove Denmark Villas Express,Convenience South,SOUTH EAST,"£6,713",216,£28.09,£2.44,11.5,171,1.3,33.4,92.60%,97.80%,5,19,4,3,2
2705 Histon Express,Convenience Central,EAST ANGLIA,"£3,385",109,£27.98,£2.41,11.6,77,1.4,32,93.50%,99.60%,7,17,3,2,3
2708 Ealing Haven Green Express,Convenience London,GREATER LONDON,"£4,422",139,£28.73,£2.72,10.6,101,1.4,27.5,92.80%,98.00%,7,14,3,1,2
2710 Heaton Moor Express,Convenience North,MIDLANDS,"£13,134",376,£31.93,£2.79,11.5,278,1.4,32.4,93.00%,99.30%,10,14,4,2,3
2712 Gee Cross Stockport Rd Express,Convenience North,MIDLANDS,"£8,300",280,£26.53,£2.62,10.1,198,1.4,28.1,96.40%,98.80%,8,13,4,1,3
2713 Hampton Hill Express,Convenience London,SOUTH EAST,"£5,486",153,£32.81,£2.99,11,113,1.4,30.1,91.40%,98.00%,6,18,3,1,2
2714 Wirral Hoylake Rd Express,Convenience North,NORTH WEST,"£7,825",228,£31.15,£2.66,11.7,158,1.4,31.2,95.20%,98.50%,6,17,4,2,2
2716 Heysham Express,Convenience North,NORTH WEST,"£3,223",97,£30.16,£2.43,12.4,73,1.3,38,86.50%,97.80%,6,24,4,2,3
2717 Maida Vale Clifton Rd Express,Convenience London,GREATER LONDON,"£2,568",79,£29.46,£2.61,11.3,51,1.5,25.1,98.70%,99.60%,6,13,3,1,1
2718 Heath St Express,Convenience London,GREATER LONDON,"£1,637",49,£30.34,£2.53,12,37,1.3,29.4,91.80%,97.60%,5,16,6,1,2
2720 Russell Square Express,Convenience London,GREATER LONDON,"£1,066",34,£28.19,£3.42,8.2,29,1.2,27.2,91.40%,100.00%,6,16,3,1,2
2722 Euston Express,Convenience London,GREATER LONDON,£488,17,£25.61,£2.15,11.9,13,1.3,42.8,76.50%,97.70%,5,29,4,3,2
2723 Dulwich Express,Convenience London,GREATER LONDON,"£2,238",70,£28.97,£2.84,10.2,58,1.2,22.6,98.60%,99.20%,5,10,4,1,3
2724 Hove Droveway Express,Convenience South,SOUTH EAST,"£2,018",71,£25.48,£2.51,10.2,57,1.2,39,88.10%,98.20%,9,21,4,1,4
2726 Marylebone Baker St Express,Convenience London,GREATER LONDON,£486,16,£27.31,£1.92,14.3,12,1.3,24.6,100.00%,99.20%,5,10,4,2,3
2727 Highgate Express,Convenience London,GREATER LONDON,"£1,435",50,£25.64,£2.48,10.3,41,1.2,34.7,85.70%,97.80%,5,23,4,1,1
2728 700 Fulham Rd Express,Convenience London,GREATER LONDON,"£1,032",28,£33.71,£2.82,12,24,1.2,21.5,96.40%,97.50%,3,10,6,1,2
2729 Golders Green Express,Convenience London,GREATER LONDON,"£6,338",173,£33.56,£2.69,12.5,132,1.3,30,92.50%,98.80%,7,14,4,1,3
2730 Ilford Esso Express,Convenience London,SOUTH EAST,"£3,921",127,£27.86,£2.61,10.7,88,1.4,26.3,95.30%,99.10%,6,14,3,1,1
2745 South Kensington Express,Convenience London,GREATER LONDON,"£1,213",38,£28.67,£2.31,12.4,29,1.3,24,100.00%,99.30%,7,10,3,2,3
2747 Islington,Convenience London,GREATER LONDON,"£3,179",98,£29.41,£2.97,9.9,68,1.4,30.4,95.90%,99.00%,5,15,4,2,4
2751 Kesgrave Superstore,Large Central,EAST ANGLIA,"£4,185",104,£37.28,£2.45,15.2,77,1.4,30.8,96.20%,97.80%,6,14,5,2,3
2753 Goldhawk Rd Express,Convenience London,GREATER LONDON,"£3,412",117,£26.14,£2.29,11.4,87,1.3,25.1,94.90%,98.70%,5,12,3,1,3
2754 Holland Park Express,Convenience London,GREATER LONDON,"£2,421",76,£28.95,£2.80,10.4,64,1.2,26.8,94.80%,97.20%,7,11,3,2,4
2755 Clapham Junction Express,Convenience London,GREATER LONDON,"£2,343",72,£29.45,£2.55,11.6,58,1.2,28.7,93.00%,99.70%,5,17,3,1,2
2756 Inverness Superstore,Large North,WEST SCOTLAND,"£4,872",124,£36.82,£2.40,15.3,101,1.2,69.7,54.90%,97.30%,10,44,9,3,4
2761 Kew Gardens Express,Convenience London,SOUTH EAST,"£3,612",118,£27.72,£2.53,10.9,84,1.4,36,87.80%,98.70%,8,21,3,2,2
2763 Kempshott Express,Convenience South,SOUTH CENTRAL,"£3,718",110,£30.72,£2.53,12.1,86,1.3,45.2,80.90%,97.50%,8,27,4,2,3
2766 Kempston Bedford Rd Express,Convenience Central,SOUTH EAST,"£4,697",141,£30.24,£2.68,11.3,91,1.5,26,100.00%,99.00%,7,11,3,2,3
2768 Twickenham St Margarets Express,Convenience London,SOUTH EAST,"£3,071",89,£31.50,£2.62,12,69,1.3,24.8,96.60%,98.70%,4,12,5,1,2
2774 Kingsteignton Express,Convenience South,SOUTH WEST,"£7,082",224,£28.65,£2.75,10.4,168,1.3,47.8,79.00%,99.30%,8,31,3,2,3
2775 Tottenham Court Rd Express,Convenience London,GREATER LONDON,£486,18,£23.90,£2.30,10.4,14,1.3,22.8,100.00%,99.40%,5,9,4,2,3
2778 Hammersmith King St Express,Convenience London,GREATER LONDON,"£1,261",39,£29.37,£2.44,12.1,29,1.3,25.3,94.90%,99.20%,6,13,3,1,2
2780 Kingswinford Esso Express,Convenience Central,MIDLANDS,"£4,079",105,£35.84,£2.61,13.7,78,1.3,23.4,97.10%,99.70%,6,9,4,1,2
2781 Kingswood Express,Convenience South,SOUTH CENTRAL,"£2,335",73,£28.78,£2.66,10.8,50,1.5,23.4,98.60%,98.50%,4,11,4,2,2
2782 Kings Worthy Express,Convenience South,SOUTH CENTRAL,"£1,341",41,£29.75,£2.69,11,31,1.3,43.6,78.00%,99.80%,5,29,5,2,3
2789 Kings Cross Express,Convenience London,GREATER LONDON,"£4,705",147,£28.99,£2.50,11.6,93,1.6,30.9,94.50%,99.20%,6,15,4,2,3
2793 Kirby Frith Express,Convenience Central,MIDLANDS,"£3,461",109,£28.58,£2.87,9.9,74,1.5,24.6,100.00%,99.20%,7,11,3,2,2
2795 Willerby Kirk Ella Esso Express,Convenience North,NORTH EAST,"£3,572",108,£29.98,£2.62,11.4,80,1.4,23.9,97.20%,98.00%,6,9,4,2,2
2803 Larkfield Esso Express,Convenience South,SOUTH EAST,"£3,597",116,£27.96,£2.35,11.9,87,1.3,36.8,85.70%,100.00%,5,26,2,2,1
2805 Leyton Esso Express,Convenience London,GREATER LONDON,"£2,321",83,£24.84,£2.22,11.2,64,1.3,25.1,96.40%,100.00%,5,14,4,1,2
2807 Leigh-on-sea Esso Express,Convenience Central,SOUTH EAST,"£4,720",126,£34.42,£2.62,13.2,92,1.4,28.1,95.30%,99.30%,5,16,4,2,2
2810 Blackpool Lytham Rd Express,Convenience North,NORTH WEST,"£1,544",46,£30.47,£3.09,9.9,28,1.6,21.6,100.00%,98.70%,4,12,3,2,1
2811 Littlehampton Finisterre Express,Convenience South,SOUTH EAST,"£9,582",286,£30.40,£2.65,11.5,209,1.4,30.4,95.50%,99.70%,6,17,3,2,2
2813 Leamington Spa Parade Express,Convenience Central,MIDLANDS,"£11,477",288,£36.83,£2.53,14.6,221,1.3,27,99.30%,98.60%,8,8,6,2,3
2817 Langford Village Express,Convenience Central,SOUTH CENTRAL,"£8,278",231,£32.81,£2.52,13,153,1.5,31.7,93.00%,98.30%,7,17,3,2,3
2820 Leicester Fosse Esso Express,Convenience Central,MIDLANDS,"£2,934",82,£32.74,£2.47,13.2,63,1.3,24.9,95.10%,99.00%,6,12,4,1,2
2823 Colney Express,Convenience Central,SOUTH EAST,"£1,838",54,£30.91,£3.00,10.3,37,1.5,23.8,98.10%,97.90%,5,11,4,2,2
2844 Long Eaton Express,Convenience Central,MIDLANDS,"£5,179",143,£33.08,£2.67,12.4,115,1.2,21.7,100.00%,99.10%,6,8,4,2,2
2847 Sundon Park Express,Convenience Central,SOUTH EAST,"£6,812",214,£28.72,£2.67,10.8,150,1.4,22,100.00%,98.70%,7,8,3,2,2
2851 Tooting Bec Express,Convenience London,GREATER LONDON,£881,27,£29.64,£2.25,13.1,22,1.2,24.3,100.00%,98.00%,5,11,5,1,3
2852 Leeds Harrogate Rd Esso Express,Convenience North,NORTH EAST,"£3,033",96,£28.43,£2.52,11.3,75,1.3,35.3,88.50%,98.90%,9,17,5,1,3
2853 Limbury Mead Express,Convenience Central,SOUTH EAST,"£3,699",121,£27.38,£2.62,10.5,88,1.4,18.7,100.00%,98.90%,5,6,3,2,2
2861 Maida Vale Esso Express,Convenience London,GREATER LONDON,"£3,340",98,£31.08,£2.38,13.1,70,1.4,28.9,89.80%,99.60%,4,17,4,2,2
2863 Weston Milton Express,Convenience South,SOUTH CENTRAL,"£4,623",141,£29.78,£2.83,10.5,106,1.3,31,93.50%,98.30%,7,15,4,2,3
2871 Mangotsfield Express,Convenience South,SOUTH CENTRAL,"£4,549",146,£28.01,£2.67,10.5,102,1.4,27.4,95.90%,97.10%,6,13,4,2,3
2894 Mold Superstore,Large Central,WALES,"£3,385",65,£49.16,£2.62,18.8,55,1.2,64.3,61.30%,98.10%,10,37,12,2,3
2899 Longton Meir Hay Express,Convenience Central,MIDLANDS,"£16,704",529,£28.41,£2.49,11.4,372,1.4,21.7,99.80%,99.10%,8,6,3,2,2
2902 Maidstone Tonbridge Rd Esso Express,Convenience South,SOUTH EAST,"£5,776",187,£27.88,£2.47,11.3,131,1.4,29.7,94.70%,99.50%,6,16,3,2,3
2911 Cookridge Express,Convenience North,NORTH EAST,£780,25,£28.27,£2.36,12,19,1.3,25.3,92.00%,99.60%,4,13,4,2,2
2912 Longwell Green Express,Convenience South,SOUTH CENTRAL,"£4,723",151,£28.19,£2.69,10.5,111,1.4,26.4,97.30%,99.50%,7,13,3,2,2
2914 Benton Rd Esso Express,Convenience North,NORTH EAST,"£3,912",106,£33.89,£2.95,11.5,72,1.5,36.7,88.60%,98.50%,8,21,3,1,3
2915 Fenham W Rd Esso Express,Convenience North,NORTH EAST,"£3,727",111,£30.70,£2.63,11.7,77,1.4,34.6,87.30%,99.70%,9,18,3,1,3
2925 Longlevens Express,Convenience Central,SOUTH CENTRAL,"£6,009",192,£28.17,£2.65,10.6,130,1.5,30.9,96.30%,98.90%,7,16,3,2,2
2927 Newbury Express,Convenience South,SOUTH EAST,"£11,800",312,£34.85,£2.40,14.5,240,1.3,47,78.00%,99.60%,12,26,4,2,3
2932 Newport Pagnell Elthorne Express,Convenience Central,SOUTH EAST,"£2,160",64,£30.76,£2.97,10.3,48,1.3,24.9,96.80%,97.20%,5,10,3,3,3
2938 Jesmond Express,Convenience North,NORTH EAST,"£1,319",32,£38.50,£2.68,14.3,27,1.2,44.4,71.00%,99.50%,7,21,5,1,11
2939 Barnet Esso Express,Convenience London,SOUTH EAST,"£2,589",83,£28.11,£2.77,10.1,61,1.4,20.5,98.80%,98.40%,6,8,3,2,2
2946 Northenden Express,Convenience North,NORTH WEST,"£5,061",138,£33.68,£2.75,12.2,100,1.4,30.6,99.30%,98.70%,7,15,4,1,4
2950 Narborough Express,Convenience Central,MIDLANDS,"£1,398",43,£29.44,£2.54,11.6,34,1.3,29,97.70%,98.20%,6,16,4,2,2
2956 Portobello Road Express,Convenience London,GREATER LONDON,"£3,525",111,£28.64,£2.43,11.8,81,1.4,28.4,98.20%,98.90%,6,12,5,2,5
2959 Lode Heath Express,Convenience Central,MIDLANDS,"£2,231",75,£26.65,£2.42,11,61,1.2,27.8,97.30%,98.30%,6,13,4,1,3
2965 North Cheam Esso Express,Convenience London,SOUTH EAST,"£6,642",202,£29.78,£2.75,10.8,135,1.5,22,99.50%,98.40%,6,10,3,1,2
2966 Ilchester Rd Express,Convenience South,SOUTH CENTRAL,"£4,744",146,£29.45,£2.48,11.9,112,1.3,33.1,92.40%,98.50%,6,19,4,2,2
2968 North Shields Beach Rd Esso Express,Convenience North,NORTH EAST,"£6,237",179,£31.81,£2.94,10.8,139,1.3,30.3,96.60%,98.40%,7,13,3,2,5
2970 Bradley Stoke Express,Convenience South,SOUTH CENTRAL,"£7,389",221,£30.38,£2.48,12.2,151,1.5,25.3,98.20%,99.20%,6,12,3,2,2
2972 LANGLEY SLOUGH EXPRESS,Convenience South,SOUTH EAST,"£7,557",238,£28.61,£2.57,11.1,148,1.6,22.9,99.60%,99.00%,6,10,3,3,1
2973 Matthias Road Express,Convenience London,GREATER LONDON,"£1,344",47,£25.55,£2.53,10.1,33,1.4,17.6,100.00%,99.00%,4,8,3,1,1
2974 Nuneaton Croft Rd Express,Convenience Central,MIDLANDS,"£9,838",310,£28.67,£2.53,11.3,208,1.5,23.3,99.40%,98.50%,8,8,3,2,2
2975 Ocean Village Express,Convenience South,SOUTH CENTRAL,"£2,944",84,£32.12,£2.76,11.6,63,1.3,31.8,91.70%,99.40%,9,17,3,1,2
2976 Warrington Orford Green Esso Express,Convenience North,MIDLANDS,"£3,774",108,£31.86,£2.66,12,73,1.5,27.3,94.40%,99.40%,6,15,4,1,2
2977 Oxford Rd Express,Convenience North,NORTH WEST,"£1,893",56,£30.55,£2.41,12.7,43,1.3,37.9,83.60%,99.30%,9,23,3,1,1
2979 Southgate Bramley Rd Esso Express,Convenience London,GREATER LONDON,"£1,666",49,£30.92,£2.74,11.3,39,1.3,21.2,100.00%,99.50%,4,10,3,2,2
2986 Bury St Edmunds Lawson Place Express,Convenience Central,EAST ANGLIA,"£2,932",80,£33.61,£2.88,11.7,54,1.5,40.5,82.50%,99.10%,5,28,4,2,2
2990 Oxford Cowley Road Express,Convenience Central,SOUTH CENTRAL,"£9,986",275,£33.32,£2.55,13.1,204,1.3,33.8,96.00%,99.00%,9,14,5,1,4
2996 Solihull Esso Express,Convenience Central,MIDLANDS,"£9,348",289,£29.22,£2.65,11,188,1.5,21.8,99.30%,98.90%,8,7,3,1,3
2997 Stourbridge Esso Express,Convenience Central,MIDLANDS,"£10,953",302,£33.30,£2.56,13,230,1.3,21.8,100.00%,98.10%,7,7,4,2,2
2998 Oulton Broad Esso Express,Convenience Central,EAST ANGLIA,"£4,512",142,£28.61,£2.47,11.6,102,1.4,29.7,95.80%,99.70%,7,16,3,2,2
2999 Furzton Express,Convenience Central,SOUTH EAST,"£1,900",71,£23.57,£2.33,10.1,51,1.4,23.3,100.00%,98.40%,4,13,4,1,1
3011 Dogsthorpe Esso Express,Convenience Central,EAST ANGLIA,"£4,775",158,£27.09,£2.21,12.3,110,1.4,25.7,98.70%,98.80%,6,9,4,2,4
3012 Paddington Church Street Express,Convenience London,GREATER LONDON,"£1,947",59,£30.04,£2.48,12.1,39,1.5,32.8,95.00%,99.10%,6,15,4,2,5
3018 Perth Express,Convenience North,EAST SCOTLAND,"£16,717",400,£38.77,£2.66,14.6,289,1.4,40.3,86.30%,98.60%,11,15,5,2,7
3020 Linslade Express,Convenience Central,SOUTH EAST,"£4,721",143,£29.93,£2.71,11.1,103,1.4,24.5,98.60%,98.50%,6,11,3,2,3
3023 Peterborough Hereward Cross Express,Convenience Central,EAST ANGLIA,"£3,114",84,£34.01,£2.43,14,65,1.3,28.5,96.40%,99.30%,6,8,6,2,6
3038 Polegate Esso Express,Convenience South,SOUTH EAST,"£3,290",104,£28.56,£2.58,11.1,59,1.8,33.6,90.20%,99.30%,5,22,3,2,1
3054 Portswood Esso Express,Convenience South,SOUTH CENTRAL,"£1,235",38,£29.57,£2.47,11.9,28,1.4,27.9,94.70%,100.00%,6,13,4,1,3
3056 Port Talbot Superstore,Large Central,WALES,"£6,806",167,£37.90,£2.46,15.4,128,1.3,53.2,69.30%,95.60%,8,28,10,2,5
3058 Poole Fernside Rd Express,Convenience South,SOUTH CENTRAL,"£5,717",169,£30.75,£2.62,11.7,126,1.3,31.2,94.70%,99.40%,7,17,3,2,2
3061 Leavesden Green Express,Convenience London,SOUTH EAST,"£8,496",252,£30.71,£2.57,11.9,175,1.4,25,98.40%,97.00%,6,9,4,2,3
3064 Outwood Express,Convenience North,NORTH EAST,"£2,878",90,£28.98,£2.93,9.9,59,1.5,23.9,100.00%,98.80%,5,9,4,2,4
3069 Norwich Magdalen Rd Express,Convenience Central,EAST ANGLIA,"£6,392",205,£28.00,£2.55,11,146,1.4,25.4,98.60%,99.50%,5,12,3,2,3
3070 Ashford Mace Ln Express,Convenience South,SOUTH EAST,"£5,924",193,£27.65,£2.49,11.1,147,1.3,26.4,97.90%,99.00%,7,12,3,2,2
3072 Plympton Express,Convenience South,SOUTH WEST,"£4,606",146,£28.67,£2.91,9.9,98,1.5,31.3,94.20%,98.90%,6,19,3,1,2
3073 Lichfield Netherstowe Express,Convenience Central,MIDLANDS,"£7,125",219,£29.46,£2.70,10.9,147,1.5,23.9,98.60%,99.20%,6,10,3,2,2
3075 Northbourne Express,Convenience South,SOUTH CENTRAL,"£2,140",74,£25.87,£2.52,10.3,58,1.3,36.5,89.30%,99.40%,4,25,3,2,3
3077 New Park Esso Express,Convenience London,SOUTH EAST,"£2,479",94,£23.46,£2.41,9.7,74,1.3,21.9,97.90%,98.50%,5,10,3,1,2
3078 Rainham Shopping Centre Superstore,Large South,SOUTH EAST,"£17,406",461,£34.73,£2.49,14,345,1.3,33.8,94.30%,98.40%,9,14,6,2,3
3080 Reading Shinfield Express,Convenience South,SOUTH EAST,"£6,699",204,£29.79,£2.77,10.8,126,1.6,23.2,99.00%,98.40%,6,9,4,1,3
3082 Shenfield Express,Convenience Central,SOUTH EAST,"£5,983",169,£32.40,£2.63,12.3,131,1.3,29.4,94.10%,99.00%,6,13,4,2,4
3083 Northwood Hills Esso Express,Convenience London,SOUTH EAST,"£4,908",164,£26.79,£3.14,8.5,103,1.6,20.4,98.80%,97.40%,5,9,3,1,2
3088 Redfield Express,Convenience South,SOUTH CENTRAL,"£5,427",152,£32.68,£2.40,13.6,122,1.2,35.9,92.90%,99.30%,10,14,6,2,5
3092 Reedley Esso Express,Convenience North,NORTH WEST,"£5,384",178,£27.15,£2.57,10.6,126,1.4,26.8,97.80%,96.40%,6,9,4,3,6
3093 Regent Street Express,Convenience London,GREATER LONDON,£277,10,£24.09,£2.48,9.7,7,1.4,25.8,100.00%,100.00%,6,14,3,1,2
3097 Richmond George Street Express,Convenience London,SOUTH EAST,"£2,515",67,£34.51,£3.02,11.4,49,1.4,35.4,85.10%,98.30%,6,21,4,1,2
3098 Rayners Ln Express,Convenience London,SOUTH EAST,"£1,421",48,£26.52,£2.62,10.1,31,1.5,22.2,91.70%,97.10%,5,10,5,1,2
3102 Richmond Express,Convenience London,SOUTH EAST,"£2,646",75,£32.27,£2.29,14.1,56,1.3,33.5,90.50%,98.90%,10,17,4,2,1
3104 Rotherham Bawtry Rd Esso Express,Convenience North,NORTH EAST,"£8,614",232,£34.13,£2.85,12,175,1.3,32,94.80%,97.20%,7,15,4,2,4
3105 Romford Esso Express,Convenience London,SOUTH EAST,"£4,535",155,£26.19,£2.49,10.5,122,1.3,27.4,97.40%,99.60%,7,14,3,1,2
3109 Rothwell Express,Convenience Central,MIDLANDS,"£4,548",129,£32.16,£3.07,10.5,88,1.5,35.5,89.10%,99.00%,7,22,3,2,2
3117 Manchester Rusholme Esso Express,Convenience North,NORTH WEST,"£2,610",79,£29.94,£2.65,11.3,59,1.3,36.7,88.60%,95.70%,11,17,4,2,3
3122 Mossley Hill Express,Convenience North,NORTH WEST,"£2,627",72,£33.43,£2.44,13.7,61,1.2,31.4,90.40%,99.00%,5,17,5,2,3
3123 Lavender Rd Express,Convenience South,SOUTH CENTRAL,"£6,285",213,£26.36,£2.54,10.4,139,1.5,25.6,99.50%,98.80%,7,11,3,2,3
3124 Lilliput Express,Convenience South,SOUTH CENTRAL,"£1,337",30,£41.45,£2.81,14.7,22,1.4,37.1,90.30%,97.90%,5,23,4,2,2
3125 Duston Limehurst Square Express,Convenience Central,MIDLANDS,"£5,119",166,£27.63,£2.49,11.1,121,1.4,25.6,98.20%,98.40%,7,8,4,2,4
3127 Warsash Locks Heath Express,Convenience South,SOUTH CENTRAL,"£7,828",236,£30.03,£2.83,10.6,165,1.4,33,91.90%,99.60%,7,20,3,2,2
3128 Kilnhouse Ln Express,Convenience North,NORTH WEST,"£2,833",98,£25.85,£3.12,8.3,58,1.7,38.8,83.50%,96.90%,6,26,3,2,2
3131 Colchester St Johns Express,Convenience Central,SOUTH EAST,"£10,343",335,£27.84,£2.66,10.5,223,1.5,25.9,98.20%,98.50%,7,10,3,2,4
3132 Hobs Moat Express,Convenience Central,MIDLANDS,"£11,580",337,£31.23,£2.88,10.9,226,1.5,20.7,99.70%,99.60%,8,8,3,1,1
3135 Fulwood Esso Express,Convenience North,NORTH EAST,"£2,280",63,£33.20,£2.72,12.2,52,1.2,28.3,98.40%,98.70%,6,14,4,3,2
3143 Southwold Express,Convenience Central,SOUTH CENTRAL,"£8,120",269,£27.04,£2.56,10.6,189,1.4,29.9,94.80%,99.10%,7,17,2,2,2
3146 Saltcoats Superstore,Large North,WEST SCOTLAND,"£6,361",140,£42.59,£2.54,16.8,108,1.3,57.8,62.20%,99.20%,7,42,6,2,1
3148 St Pauls Cray Esso Express,Convenience London,SOUTH EAST,"£19,738",626,£28.44,£2.78,10.2,419,1.5,23.7,99.00%,99.00%,8,9,3,1,3
3151 Salisbury Express,Convenience South,SOUTH CENTRAL,"£10,636",325,£29.63,£2.62,11.3,233,1.4,34.1,93.50%,98.80%,8,15,6,2,3
3153 Hayes South Esso Express,Convenience London,SOUTH EAST,"£1,499",54,£24.41,£2.88,8.5,39,1.4,25.7,96.30%,98.60%,7,13,3,1,2
3156 St Mary's Esso Express,Convenience Central,SOUTH EAST,"£9,370",348,£23.80,£2.34,10.2,229,1.5,25.8,96.00%,98.70%,6,12,3,1,3
